Group#,Charging C-rate,Charging Current,Discharging C-rate,Discharging Current
1,0.5,0.125,0.5,0.125
2,0.5,0.125,0.5,0.125
3,0.5,0.125,0.5,0.125
4,1,0.25,0.5,0.125
5,1,0.25,0.5,0.125
6,2,0.5,0.5,0.125
7,2,0.5,0.5,0.125
8,2,0.5,0.5,0.125
9,2,0.5,0.5,0.125
10,2.5,0.625,0.5,0.125
11,2.5,0.625,0.5,0.125
12,3,0.75,0.5,0.125
13,3,0.75,0.5,0.125
14,3,0.75,0.5,0.125
15,3,0.75,0.5,0.125
16,0.5,0.125,0.5,0.125
17,1,0.25,0.5,0.125
18,2.5,0.625,0.5,0.125
19,2.5,0.625,0.5,0.125
20,0.8,0.2,0.5,0.125
21,1.2,0.3,0.5,0.125
22,1.4,0.35,0.5,0.125
23,1.6,0.4,0.5,0.125
24,1.8,0.45,0.5,0.125
25,1.8,0.45,0.6,0.15
26,1.4,0.35,2.2,0.55
27,0.6,0.15,2.4,0.6
28,2.4,0.6,1.6,0.4
29,1.6,0.4,1.8,0.45
30,0.8,0.2,0.8,0.2
31,1.2,0.3,1,0.25
32,1,0.25,1.4,0.35
33,2,0.5,1.2,0.3
34,2.2,0.55,2,0.5
35,1.825,0.45625,0.5,0.125
36,2.075,0.51875,0.5,0.125
37,0.725,0.18125,0.5,0.125
38,1.875,0.46875,0.5,0.125
39,1.475,0.36875,0.5,0.125
40,1.825,0.45625,1.025,0.25625
41,2.075,0.51875,1.775,0.44375
42,0.725,0.18125,2.375,0.59375
43,1.875,0.46875,2.325,0.58125
44,0.775,0.1938,1.275,0.3188
45,1.125,0.2813,1.725,0.4313
46,1.225,0.3063,2.025,0.5063
47,2.325,0.5813,1.925,0.4813
48,2.375,0.5938,2.225,0.5563
49,0.975,0.2438,0.675,0.1688
50,2.425,0.6063,1.625,0.4063
51,2.275,0.5688,1.875,0.4688
52,1.425,0.3563,0.875,0.2188
53,2.025,0.5063,0.825,0.2063
54,0.925,0.2313,1.125,0.2813
55,1.025,0.2563,2.475,0.6188
56,2.175,0.5438,0.975,0.2438
57,1.775,0.4438,1.175,0.2938
58,2.475,0.6188,0.575,0.1438
59,1.325,0.3313,1.825,0.4563
60,0.675,0.1688,1.325,0.3313
61,2.125,0.5313,1.975,0.4938
62,1.575,0.3938,2.425,0.6063
63,1.975,0.4938,1.675,0.4188
64,1.175,0.2938,1.425,0.3563
