Group,Cell,Chg C-rate,Dchg C-rate,DoD,Lifetime,Q_initial,Q_ini_V_low,Q_ini_V_mid,Q_ini_V_high,CV_time_0,CV_time_3,delta_CV_time_3_0,capacity_fade_3_0,var_deltaQ_dchg_3_0,mean_deltaQ_dchg_3_0,var_dqdv_dchg_3_0,mean_dqdv_dchg_3_0,var_dqdv_dchg_low_3_0,mean_dqdv_dchg_low_3_0,var_dqdv_dchg_mid_3_0,mean_dqdv_dchg_mid_3_0,var_dqdv_dchg_high_3_0,mean_dqdv_dchg_high_3_0,delta_Q_DVA1,delta_Q_DVA2,delta_Q_DVA3,delta_Q_DVA4,chg_stress,dchg_stress,avg_stress,multi_stress
G1,G1C1,0.5,0.5,0.2479265752786428,48.42,0.28045655555555554,-0.07970364113833753,-0.11645281063012979,-0.08440553189346968,1151.0,815.0,-336.0,0.0032662777777777707,1.7455391372009167e-05,0.00016913656452438984,0.0012771249455566386,0.0028193259429232834,0.00028134384366028994,0.005885809519098884,0.0006927794024492661,0.02331877814939411,0.002703477454383865,-0.023755749510448433,-0.006280048913963193,0.0012367945811186942,0.00148445084656329,0.007764499760526483,0.35208420532497825,0.35208420532497825,0.35208420532497825,0.12396328763932145
G1,G1C2,0.5,0.5,0.2616769938198376,56.029,0.2824359444444444,-0.07903646600042549,-0.11600011424777859,-0.0877132738836542,1064.0,740.0,-324.0,0.0033748333333332714,1.5561692197167815e-05,-0.0006463070209275503,0.0011463795676226502,0.003006542065293204,0.0003369983784797077,0.0034630932193538935,0.0006800188283581939,0.02324128190475153,0.002373979763793328,-0.01807162962727573,-0.000708315233976603,0.0027563213105500084,0.0010049582755760345,0.0017132735095526375,0.36171604458458684,0.36171604458458684,0.36171604458458684,0.1308384969099188
G1,G1C3,0.5,0.5,0.2584253679778493,60.891,0.2793986111111111,-0.07860134796184151,-0.11527700107324709,-0.08570965120162939,1100.0,773.0,-327.0,0.004180555555555521,1.799014066587351e-05,-0.0008998290639529814,0.0011024064113056527,0.003703457700197691,0.0003478281751655898,0.0049615009481162094,0.0005792616393753744,0.023963728612593785,0.0022029630386073383,-0.01899485989079153,-0.0016458532604027298,0.0017528022102901997,0.0029512760813261707,0.0045971293417289005,0.35946165857977774,0.35946165857977774,0.35946165857977774,0.12921268398892471
G1,G1C4,0.5,0.5,0.2678277239470041,31.728,0.28094444444444444,-0.07781653835040442,-0.1166999451473413,-0.0865792803118554,1204.0,868.0,-336.0,0.0021722222222221865,1.40162028014372e-05,0.00024035021764689079,0.0010487090873050125,0.001917107248021809,0.00016218023012435061,0.003132428012441257,0.0006429953761511166,0.022682057960165286,0.0022536550915300832,-0.021234209651874072,-0.0007082766776896066,0.000175200402705189,0.0020396064340698072,0.002747883111759414,0.36594242986226955,0.36594242986226955,0.36594242986226955,0.13391386197350208
G2,G2C1,0.5,0.5,0.4497688936088829,23.929,0.28191080555555553,-0.0798338480409223,-0.1158606064976462,-0.08628602254090574,1099.0,801.0,-298.0,0.008040027777777736,2.96743849520005e-05,-0.0043658509033928225,0.0015542032231120478,0.006786123899589071,0.00024837615686564707,0.0033785769097431115,0.0024047859989484244,0.03365688447295711,0.0021652615619137876,-0.013204063048114306,-0.010167477807554559,0.004930632457789991,0.002751841574722219,0.012919319382276778,0.47421982961959896,0.47421982961959896,0.47421982961959896,0.22488444680444147
G2,G2C2,0.5,0.5,0.483613730465826,27.751,0.28240038888888885,-0.07838952571806918,-0.11707407800677111,-0.08702187416746351,1180.0,809.0,-371.0,0.008168305555555533,3.301024422229822e-05,-0.004240314102770475,0.0017189762782897648,0.006900382576249408,0.0003279106625499257,0.0045099529203713445,0.0026226174078535945,0.03367107118814878,0.0023825676015405105,-0.015028198031858309,0.006070579726980774,0.005525053586424689,0.003362480221397096,-0.0027080995055836776,0.49173861474660807,0.49173861474660807,0.49173861474660807,0.24180686523291303
G2,G2C3,0.5,0.5,0.4556527791783018,28.185,0.28318322222222225,-0.07975314380946752,-0.11673325281033019,-0.0868368713112643,1085.0,807.0,-278.0,0.009098611111111155,3.243629114154714e-05,-0.005390451532835442,0.001529624218904879,0.007695814810859793,0.0002952548036902957,0.0028207120573501836,0.002171299500399706,0.035136252562555495,0.0022403512874745626,-0.009931118747818686,-0.003071130749435075,0.0064132315137317986,0.003334464659308478,0.006405595408743553,0.47731162733496335,0.47731162733496335,0.47731162733496335,0.22782638958915094
G2,G2C4,0.5,0.5,0.4551969334916514,26.098,0.2818986111111111,-0.07673498094919418,-0.11551025320300261,-0.0897690086618817,1002.0,734.0,-268.0,0.00928055555555557,3.147656821162703e-05,-0.0058345385453851895,0.0015064451062277947,0.007808260906820241,0.00024970132276920303,0.0015535917049668156,0.002001064963793998,0.03185191040808827,0.002733830623575636,-0.003638582227437258,-0.005154561801891305,0.007695345739552217,0.0017116538708125129,0.006866215672703818,0.477072810738388,0.477072810738388,0.477072810738388,0.22759846674582576
G3,G3C1,0.5,0.5,0.6701900922367644,31.609,0.28224163888888887,-0.07800646881272177,-0.1158841092223809,-0.08842455132620086,1052.0,734.0,-318.0,0.009437083333333318,4.0243893616062414e-05,-0.006152862585310976,0.0018835678400702313,0.007918088182258589,0.00019259110874804243,-0.001100480578678992,0.0026082461402478193,0.04224008484479025,0.0029310270374014844,-0.008295537022594012,-0.007691780320300823,0.008378999277028315,0.001027485767810199,0.008719266088111022,0.5788739466571131,0.5788739466571131,0.5788739466571131,0.33509504611838226
G3,G3C2,0.5,0.5,0.688215868,18.243,0.2798638611111111,-0.07609528513257369,-0.11449844985640159,-0.08929415062628297,930.0,696.0,-234.0,0.012355555555555509,4.850989423590888e-05,-0.008027540786807019,0.0015558140293440972,0.01053579478662279,0.00027138265766684283,0.0011065659915615851,0.0016300562881504757,0.04173026479164746,0.0027427387819845546,-0.0017550917483705212,-0.001821711954798133,0.010336055794321813,0.0025596396359052753,0.004381351590703408,0.5866071376994999,0.5866071376994999,0.5866071376994999,0.34410793400000006
