Group,Cell,Lifetime,var_deltaQ,min_deltaQ,skew_deltaQ,kurt_deltaQ,Q_ini
G1,G1C1,48.42,1.7455391372009167e-05,-0.004271102533108306,0.9101556058972254,-0.23424346964899412,0.2804565555555555
G1,G1C2,56.029,1.5561692197167815e-05,-0.004920589757681726,0.9988378561164559,-0.06887312650763056,0.2824359444444444
G1,G1C3,60.891,1.799014066587351e-05,-0.005701260549417386,0.798125866077916,-0.45721579717890926,0.2793986111111111
G1,G1C4,31.728,1.40162028014372e-05,-0.0035904657492576986,1.1465543191312586,0.19774473291353223,0.2809444444444444
G2,G2C1,23.929,2.96743849520005e-05,-0.009602513311616212,0.9143070542233295,-0.7333423795270044,0.2819108055555555
G2,G2C2,27.751,3.301024422229822e-05,-0.010103673644303923,0.887113935814125,-0.7236945230049523,0.2824003888888888
G2,G2C3,28.185,3.243629114154714e-05,-0.010995747338461315,0.8755372667062028,-0.8224759759928784,0.2831832222222222
G2,G2C4,26.098,3.147656821162703e-05,-0.011070425169516507,0.9528747892527037,-0.7480513418761867,0.2818986111111111
G3,G3C1,31.609,4.0243893616062414e-05,-0.011502770556209685,1.0138972367113424,-0.6727010853732343,0.2822416388888888
G3,G3C2,18.243,4.850989423590888e-05,-0.01438769227842951,0.8957377071954603,-0.8813616253432466,0.2798638611111111
G3,G3C3,26.745,4.05363753261105e-05,-0.011294028392587918,0.9921772955802542,-0.7052347023937702,0.2847791388888889
G3,G3C4,18.258,4.2937571982367244e-05,-0.011564242462341112,0.9531223160326077,-0.7406967828007631,0.2840763888888889
G4,G4C1,26.341,4.074813962304004e-05,-0.01189305210250774,0.8896976672611425,-0.7939415392419678,0.2838558611111111
G4,G4C2,26.96,4.5052718368786584e-05,-0.012656575844476381,0.7970356502741175,-0.8747998161091082,0.2805666666666667
G4,G4C3,30.762,3.981063288056895e-05,-0.011581706718367002,0.8334482399199599,-0.8107503684323061,0.2820331666666666
G4,G4C4,22.779,4.1529427364948485e-05,-0.012567517373364312,0.9084325263807091,-0.8082687907065433,0.2823097222222222
G5,G5C1,12.522,5.6643223448526656e-05,-0.013784477719006288,0.8606140779588363,-0.7324182250525251,0.2816933888888889
