Group,Cell,Lifetime,var_deltaQ,min_deltaQ,skew_deltaQ,kurt_deltaQ,Q_ini
G2,G2C1,23.929,2.96743849520005e-05,-0.009602513311616212,0.9143070542233295,-0.7333423795270044,0.2819108055555555
G2,G2C2,27.751,3.301024422229822e-05,-0.010103673644303923,0.887113935814125,-0.7236945230049523,0.2824003888888888
G2,G2C3,28.185,3.243629114154714e-05,-0.010995747338461315,0.8755372667062028,-0.8224759759928784,0.2831832222222222
G2,G2C4,26.098,3.147656821162703e-05,-0.011070425169516507,0.9528747892527037,-0.7480513418761867,0.2818986111111111
G3,G3C1,31.609,4.0243893616062414e-05,-0.011502770556209685,1.0138972367113424,-0.6727010853732343,0.2822416388888888
G3,G3C2,18.243,4.850989423590888e-05,-0.01438769227842951,0.8957377071954603,-0.8813616253432466,0.2798638611111111
G3,G3C3,26.745,4.05363753261105e-05,-0.011294028392587918,0.9921772955802542,-0.7052347023937702,0.2847791388888889
G3,G3C4,18.258,4.2937571982367244e-05,-0.011564242462341112,0.9531223160326077,-0.7406967828007631,0.2840763888888889
G4,G4C1,26.341,4.074813962304004e-05,-0.01189305210250774,0.8896976672611425,-0.7939415392419678,0.2838558611111111
G4,G4C2,26.96,4.5052718368786584e-05,-0.012656575844476381,0.7970356502741175,-0.8747998161091082,0.2805666666666667
G4,G4C3,30.762,3.981063288056895e-05,-0.011581706718367002,0.8334482399199599,-0.8107503684323061,0.2820331666666666
G4,G4C4,22.779,4.1529427364948485e-05,-0.012567517373364312,0.9084325263807091,-0.8082687907065433,0.2823097222222222
G5,G5C1,12.522,5.6643223448526656e-05,-0.013784477719006288,0.8606140779588363,-0.7324182250525251,0.2816933888888889
G5,G5C2,12.827,5.803080269866127e-05,-0.015165052215359298,0.8379219715424475,-0.8133533544144411,0.2842785
G5,G5C3,16.23,5.354854198880134e-05,-0.014735563389346201,0.8092677172521774,-0.8872298682619224,0.2816125
G5,G5C4,8.221,5.214869269805638e-05,-0.015337002127463695,0.7754424275883038,-0.8825648289227326,0.2861761944444444
G7,G7C1,21.972,0.00011202392749197913,-0.02336266925451791,0.40204713387238117,-1.350186922208249,0.2837346944444445
G7,G7C2,22.681,7.441330079442602e-05,-0.019182376037484405,0.5359244034999961,-1.220368110486337,0.2851361111111111
G7,G7C3,36.55,6.751351125422974e-05,-0.016654273976302314,0.6197873097499756,-1.0891721332050994,0.2825712222222222
G7,G7C4,26.505,0.00011793144004279938,-0.024122843717649056,0.418164280667551,-1.3421526293906973,0.2834267777777777
G10,G10C1,15.046,0.00024002842723615543,-0.03762392571921108,0.2426540421154073,-1.5059248471640414,0.2827415
G10,G10C2,20.141,0.0001737027257644581,-0.03242705929467882,0.351490630142903,-1.3831062974515573,0.2849666666666666
G10,G10C3,14.177,0.0001349906110978802,-0.029215866536172808,0.47802791065218103,-1.2916543609984006,0.2847826111111111
G10,G10C4,24.956,0.0001661922045809169,-0.030288122600544698,0.23977011219854424,-1.5246863955150112,0.2821875
G14,G14C1,5.385,0.0007017355059859177,-0.06614353494113148,0.10107881022125015,-1.6208821305665426,0.2842125
G16,G16C1,15.247,4.156893675804848e-05,-0.012625784811553409,0.8888758030904232,-0.6760847212239356,0.2814694444444444
G16,G16C2,16.805,3.649128270213015e-05,-0.010923550822307587,0.960777202593071,-0.5266804019409097,0.2858097222222222
G16,G16C3,16.417,4.468244391141374e-05,-0.013211705965148701,0.8977635769181593,-0.6876708801620479,0.2831055555555555
G16,G16C4,15.987,4.337537350975602e-05,-0.012543139813315174,0.9334628508708723,-0.6203936603202069,0.2866291666666666
G19,G19C1,9.874,0.000403404031945124,-0.04949545841290651,0.22508230917036684,-1.521546107502993,0.2800972222222222
G19,G19C2,7.794,0.000515617572417455,-0.05670264972682751,0.15201854808194445,-1.5695573420586986,0.2847319444444444
G19,G19C3,12.02,0.0002855385087876305,-0.0414740890675899,0.3110816257394841,-1.4624168979744632,0.2834416666666666
G19,G19C4,4.663,0.0006310062886261829,-0.06497061487198388,0.1935756648127917,-1.5429576599737442,0.2854124722222222
G20,G20C1,8.324,6.340913576398454e-05,-0.01772486541285362,0.7247552239014786,-1.0735339766241931,0.283018151111111
G20,G20C2,9.574,5.406530525119717e-05,-0.015687541856264503,0.7910338731205572,-0.9156762159177987,0.285403573333333
G20,G20C3,14.674,0.00014195872967000223,-0.025350135291332704,0.4005005972727357,-1.402268133450884,0.280671822222222
G20,G20C4,15.717,6.261009031716996e-05,-0.01576689551771987,0.7791222798421281,-0.9396154974174724,0.286220728888889
G22,G22C1,11.066,6.81707241313782e-05,-0.01728957951698812,0.7806233097262707,-0.9537125413342031,0.28666912
G22,G22C2,7.023,0.00010263031843600434,-0.0220185137203876,0.6084435611726888,-1.224256953150638,0.287045653333333
G22,G22C3,11.421,0.00011256076814814189,-0.022260455660021827,0.5635794860183706,-1.2275851274154739,0.283185653333333
G22,G22C4,9.876,6.900828219534318e-05,-0.018163524478915616,0.7819509865683819,-0.9664827932129558,0.292086453333333
G23,G23C1,10.778,0.00016375450044644823,-0.027722581547642733,0.3932211576476257,-1.4099671444664896,0.284943146666667
G23,G23C2,11.9,0.00018124432714838404,-0.028627775604415012,0.3382604224400164,-1.4500154358493207,0.280321955555556
G23,G23C3,9.692,0.0002262744431625698,-0.033526776890777515,0.26670939086711626,-1.5143550764585982,0.282664515555556
G23,G23C4,11.752,0.000147444527241463,-0.025714255928708407,0.4428462794985306,-1.3560908133199758,0.283575928888889
G25,G25C1,12.788,7.925905517087174e-05,-0.018842672167638963,0.779936524218896,-0.9889965317523877,0.285638186666667
G25,G25C2,14.425,4.1978123529788656e-05,-0.013892539092819733,0.9343527698104797,-0.9020803710594407,0.284567466666667
G25,G25C3,16.526,0.00010716426838210774,-0.023566288084242604,0.5617532596737749,-1.199773884301616,0.284015324444444
G25,G25C4,30.075,0.0001149971735045745,-0.023991489614289485,0.482071154049766,-1.2516813758516625,0.282244266666667
G27,G27C1,18.531,0.0001017640131852208,-0.022791616335256726,0.7804428422078261,-0.9920186850202573,0.286678435555556
G27,G27C2,15.872,0.0001036212236978119,-0.02218205471499829,0.8144568207751887,-0.9414979952782128,0.284682382222222
G27,G27C3,12.36,0.0001429270642667631,-0.026657457107332194,0.6482937672715648,-1.116548238820443,0.285323786666667
G27,G27C4,13.481,7.837487692117759e-05,-0.018532780883512512,0.9657286088223163,-0.7908684526411944,0.283525973333333
G28,G28C1,8.125,0.00042441236225538816,-0.0490425175282104,0.2397727206038311,-1.5359705340248015,0.282344373333333
G28,G28C2,10.748,0.0002827589481218793,-0.0406208130515702,0.48919840160612255,-1.3404401413579168,0.285554595555556
G28,G28C3,10.799,0.0003448518435621579,-0.0432565002487903,0.3314165651699632,-1.4553094005363332,0.283882702222222
G28,G28C4,6.462,0.0003975969159086755,-0.04947857095010538,0.282929992778192,-1.5131467010770006,0.282873297777778
G35,G35C1,14.688,0.0001348908951476993,-0.026064527907933177,0.42387647151742686,-1.4101556241501298,0.2859484722222222
G35,G35C2,7.647,0.00017580491334866032,-0.029812514637899024,0.38418086820501335,-1.4514246846282681,0.2795222222222222
